date,value
2021-09-23,4194.92
2021-09-24,4158.51
2021-09-27,4165.48
2021-09-28,4058.82
2021-09-29,4080.22
2021-09-30,4048.08
2021-10-01,4035.3
2021-10-04,3996.41
2021-10-05,4065.43
2021-10-06,4012.65
2021-10-07,4098.34
2021-10-08,4073.29
2021-10-11,4072.52
2021-10-12,4055.09
2021-10-13,4083.28
2021-10-14,4149.06
2021-10-15,4182.91
2021-10-18,4151.4
2021-10-19,4166.83
2021-10-20,4172.17
2021-10-21,4155.73
2021-10-22,4188.81
2021-10-25,4188.31
2021-10-26,4223.97
2021-10-27,4220.88
2021-10-28,4233.87
2021-10-29,4250.56
2021-11-01,4280.47
2021-11-02,4296.22
2021-11-03,4309.61
2021-11-04,4333.34
2021-11-05,4363.04
2021-11-08,4352.53
2021-11-09,4344.63
2021-11-10,4348.82
2021-11-11,4358.0
2021-11-12,4370.33
2021-11-15,4386.19
2021-11-16,4401.49
2021-11-17,4400.81
2021-11-18,4383.7
2021-11-19,4356.47
2021-11-22,4338.69
2021-11-23,4283.82
2021-11-24,4276.25
2021-11-25,4293.24
2021-11-26,4089.58
2021-11-29,4109.51
2021-11-30,4063.06
2021-12-01,4179.15
2021-12-02,4108.02
2021-12-03,4080.15
2021-12-06,4137.11
2021-12-07,4276.2
2021-12-08,4233.09
2021-12-09,4208.3
2021-12-10,4199.16
2021-12-13,4183.04
2021-12-14,4144.51
2021-12-15,4159.68
2021-12-16,4201.87
2021-12-17,4161.35
2021-12-20,4107.13
2021-12-21,4174.99
2021-12-22,4217.06
2021-12-23,4265.86
2021-12-24,4255.01
2021-12-27,4287.98
2021-12-28,4311.93
2021-12-29,4284.83
2021-12-30,4306.07
2021-12-31,4298.41
2022-01-03,4331.82
2022-01-04,4367.62
2022-01-05,4392.15
2022-01-06,4324.81
2022-01-07,4305.83
2022-01-10,4239.52
2022-01-11,4281.54
2022-01-12,4316.39
2022-01-13,4315.9
2022-01-14,4272.19
2022-01-17,4302.14
2022-01-18,4257.82
2022-01-19,4268.28
2022-01-20,4299.61
2022-01-21,4229.56
2022-01-24,4054.36
2022-01-25,4078.26
2022-01-26,4164.6
2022-01-27,4184.97
2022-01-28,4136.91
2022-01-31,4174.6
2022-02-01,4224.45
2022-02-02,4222.05
2022-02-03,4141.02
2022-02-04,4086.58
2022-02-07,4120.56
2022-02-08,4129.25
2022-02-09,4204.09
2022-02-10,4197.07
2022-02-11,4155.23
2022-02-14,4064.45
2022-02-15,4143.71
2022-02-16,4137.22
2022-02-17,4113.19
2022-02-18,4074.28
2022-02-21,3985.71
2022-02-22,3985.47
2022-02-23,3973.41
2022-02-24,3829.29
2022-02-25,3970.69
2022-02-28,3924.23
2022-03-01,3765.85
2022-03-02,3820.59
2022-03-03,3741.78
2022-03-04,3556.01
2022-03-07,3512.22
2022-03-08,3505.29
2022-03-09,3766.02
2022-03-10,3651.39
2022-03-11,3686.78
2022-03-14,3741.1
2022-03-15,3738.11
2022-03-16,3889.69
